date,games,pa,hr
2026-07-07,16,1233,33
2026-07-08,15,1110,38
2026-07-09,13,965,39
2026-07-10,15,1104,47
2026-07-11,16,1167,39
2026-07-12,15,1120,30
2026-07-14,1,69,1
2026-07-16,1,70,4
2026-07-17,15,1141,39
2026-07-18,16,1209,36
2026-07-19,16,1225,42
2026-07-20,15,1136,53
2026-07-21,15,1116,33
2026-07-22,17,1261,36
2026-07-23,5,384,9
2026-07-24,15,1139,27
2026-07-25,15,1084,14
2026-07-26,15,1160,40
2026-07-27,12,920,30
2026-07-28,16,1223,29
2026-07-29,16,1240,23
2026-07-30,10,749,18
2026-07-31,15,1105,37
2026-08-01,15,1138,35
2026-08-02,15,1090,30
2026-08-03,8,610,30
2026-08-04,15,1109,30
2026-08-05,15,1095,30
